labels,chunk
rest ,0
rest ,0
rest ,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
rest,0
rest,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
swallow,0
rest,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
swallow,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
rest,0
swallow,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
rest,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
rest,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
trash,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
logoB-pic,0
logoB-pic,0
juiceB,0
juiceB,0
trash,0
swallow,0
rest,0
rinse,0
rinse,0
rest,0
rest,0
swallow,0
rest,0
rest,0
rest,0
rest,0
logoA-pic,0
logoA-pic,0
juiceA,0
juiceA,0
trash,0
swallow,0
rest,0
rest,0
rinse,0
rinse,0
rest,0
swallow,0
rest,0
rest,0
rest,0
water-pic,0
water-pic,0
water ,0
water ,0
trash,0
swallow,0
rest,0
rest,0
rest,0
rest,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
trash,1
swallow,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
rest,1
logoA-pic,1
logoA-pic,1
juiceA,1
juiceA,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
logoB-pic,1
logoB-pic,1
juiceB,1
juiceB,1
trash,1
swallow,1
rest,1
rest,1
rinse,1
rinse,1
rest,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,1
rest,1
water-pic,1
water-pic,1
water ,1
water ,1
trash,1
swallow,1
rest,1
rest,1
rest,1
rest,1
rest,2
rest,2
rest,2
logoA-pic,2
logoA-pic,2
juiceA,2
juiceA,2
trash,2
swallow,2
rest,2
rest,2
rinse,2
rinse,2
rest,2
swallow,2
rest,2
rest,2
rest,2
rest,2
rest,2
logoB-pic,2
logoB-pic,2
juiceB,2
juiceB,2
trash,2
swallow,2
rest,2
rest,2
rinse,2
rinse,2
rest,2
swallow,2
rest,2
rest,2
rest,2
rest,2
rest,2
rest,2
logoB-pic,2
logoB-pic,2
juiceB,2
juiceB,2
trash,2
swallow,2
rest,2
rest,2
rinse,2
rinse,2
rest,2
swallow,2
rest,2
rest,2
rest,2
